Year,ID,Name,Path,Warning,Intensity,PresMin,WindSpeedMax,RadiusMax7,RadiusMax10,WarningCnt
1987,198720,"琳恩
(LYNN)",5,"1987-10-22 16:05
1987-10-27 09:50",強烈,898,53,400,150,20
1987,198714,"傑魯得
(GERALD)",5,"1987-09-07 16:10
1987-09-11 03:55",強烈,937,51,300,150,15
1987,198711,"黛納
(DINAH)",---,"1987-08-27 15:15
1987-08-30 08:30",強烈,910,62,400,200,12
1987,198710,"凱瑞
(CARY)",---,"1987-08-15 09:40
1987-08-19 03:20",中度,968,38,200,80,16
1987,198708,"亞力士
(ALEX)",6,"1987-07-25 15:10
1987-07-27 21:35",中度,976,35,250,100,10
1987,198706,"費南
(VERNON)",6,"1987-07-19 15:15
1987-07-22 04:25",中度,981,33,200,120,11
1987,198705,"賽洛瑪
(THELMA)",---,"1987-07-11 10:00
1987-07-15 04:10",強烈,911,60,350,150,16
1986,198617,"艾倫
(ELLEN)",---,"1986-10-14 14:50
1986-10-17 20:35",中度,970,40,250,80,14
1986,198613,"艾貝
(ABBY)",3,"1986-09-16 09:50
1986-09-20 15:25",強烈,943,51,400,200,18
1986,198612,"韋恩
(WAYNE)",特殊,"1986-08-20 20:50
1986-08-23 15:15",中度,951,38,200,100,12
1986,198612,"韋恩
(WAYNE)",特殊,"1986-08-24 08:10
1986-08-25 04:35",輕度,951,28,120,---,4
1986,198612,"韋恩
(WAYNE)",特殊,"1986-08-28 15:25
1986-09-03 20:35",中度,951,40,150,50,26
1986,198611,"薇拉
(VERA)",---,"1986-08-25 09:55
1986-08-27 15:58",中度,923,45,400,200,10
1986,198609,"莎拉
(SARAH)",---,"1986-08-01 09:20
1986-08-03 09:50",輕度,986,23,150,---,9
1986,198607,"佩姬
(PEGGY)",5,"1986-07-07 09:00
1986-07-11 15:15",強烈,900,70,400,200,18
1986,198605,"南施
(NANCY)",6,"1986-06-22 15:25
1986-06-24 15:00",中度,955,38,200,50,9
1985,198519,"白蘭黛
(BRENDA)",6,"1985-10-02 16:05
1985-10-05 04:00",中度,964,45,300,150,11
1985,198516,"衛奧
(VAL)",5,"1985-09-15 16:00
1985-09-17 21:15",輕度,992,25,150,---,11
1985,198515,"蒂絲
(TESS)",---,"1985-09-03 16:00
1985-09-05 04:00",中度,967,33,200,50,7
1985,198512,"派特
(PAT)",---,"1985-08-27 15:30
1985-08-30 09:40",中度,961,35,250,100,12
1985,198510,"尼爾森
(NELSON)",1,"1985-08-20 15:30
1985-08-24 04:35",中度,961,48,300,120,15
